New_date,Closing,RET,MA200,MA50
1/2/2009,15042.81,0.044541752,19955.96425,14038.7082
1/5/2009,15563.31,0.034016085,19928.2397,14097.6068
1/6/2009,15509.51,-0.003462837,19900.24615,14187.4802
1/7/2009,14987.46,-0.034239533,19862.86085,14235.3036
1/8/2009,14415.91,-0.038881394,19821.85535,14269.5804
1/9/2009,14377.44,-0.002672146,19780.42145,14270.5322
1/12/2009,13971,-0.028676559,19733.8467,14270.5788
1/13/2009,13668.05,-0.02192276,19687.94095,14257.0524
1/14/2009,13704.61,0.00267128,19640.7767,14243.4578
1/15/2009,13242.96,-0.034266182,19587.62935,14211.5138
1/16/2009,13255.51,0.000947225,19532.58375,14200.8232
1/19/2009,13339.99,0.006352976,19477.96055,14182.7544
1/20/2009,12959.77,-0.028916347,19419.8656,14147.0572
1/21/2009,12583.63,-0.029453181,19361.2253,14117.9118
1/22/2009,12657.99,0.005891873,19304.5924,14092.2898
1/23/2009,12578.6,-0.006291679,19246.5499,14079.4348
1/29/2009,13154.43,0.044761627,19188.9831,14071.6702
1/30/2009,13278.21,0.009365762,19136.31815,14066.6438
2/2/2009,12861.49,-0.031886771,19081.11895,14065.5558
2/3/2009,12776.89,-0.006599505,19025.61165,14064.7776
2/4/2009,13063.89,0.022213865,18969.6363,14080.0842
2/5/2009,13178.9,0.00876513,18914.5419,14090.4782
2/6/2009,13655.04,0.035491618,18859.20875,14114.4202
2/9/2009,13769.06,0.008315362,18803.3583,14132.2294
2/10/2009,13880.64,0.008071017,18746.3153,14142.4532
2/11/2009,13539.21,-0.024905143,18685.60745,14142.1962
2/12/2009,13228.3,-0.023231446,18624.16505,14128.9974
2/13/2009,13554.67,0.024372663,18563.60695,14048.6508
2/16/2009,13455.88,-0.007314952,18501.3156,14035.5916
2/17/2009,12945.4,-0.038675673,18437.26585,14026.3826
2/18/2009,13016,0.005438857,18373.5691,14014.9294
2/19/2009,13023.36,0.000565298,18307.4808,14005.201
2/20/2009,12699.17,-0.025208031,18240.0569,13982.2626
2/23/2009,13175.1,0.036792048,18174.62175,13944.8672
2/24/2009,12798.52,-0.028999145,18110.5633,13905.7732
2/25/2009,13005.08,0.016010511,18048.33975,13854.32
2/26/2009,12894.94,-0.008505064,17987.4986,13799.9408
2/27/2009,12811.57,-0.006486317,17926.2406,13761.0044
3/2/2009,12317.46,-0.039330901,17860.06405,13706.4146
3/3/2009,12033.88,-0.023291763,17792.56605,13644.488
3/4/2009,12331.15,0.024402576,17726.65325,13581.9006
3/5/2009,12211.24,-0.009771742,17659.61515,13516.1692
3/6/2009,11921.52,-0.024011669,17590.5116,13452.0494
3/9/2009,11344.58,-0.049605073,17521.3872,13386.4932
3/10/2009,11694.05,0.030340069,17452.556,13335.9584
3/11/2009,11930.66,0.020031392,17386.9937,13290.8888
3/12/2009,12001.53,0.005922584,17323.431,13247.2366
3/13/2009,12525.8,0.042756376,17265.42345,13211.183
3/16/2009,12976.71,0.035365695,17208.8968,13186.0072
3/17/2009,12878.09,-0.007628795,17152.0397,13155.8194
3/18/2009,13117.17,0.018394641,17095.7056,13117.3066
3/19/2009,13130.92,0.001047695,17038.6946,13068.6588
3/20/2009,12833.51,-0.022910036,16978.70535,13015.1388
3/23/2009,13447.42,0.046727547,16924.06365,12984.338
3/24/2009,13910.34,0.033845182,16872.9991,12974.2266
